uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	BIG6	BIG7	BIG8	BIG9	BIG10	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	Republican	Democrat	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U4881	0	54	4	0	0	0	3	3	6	5	3	2	2	6	5	1	2	7	2	5	7	6	1	5	2	1	7	2	7	3	5	7	2	4	5	6	2	1	2	1	1	1	1	1	6	5	2	1	1	1	1	1	6	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	6	7	6	0	0	6	2	3	3	1	1	1	1	1	5	4	100.0	1	1
U4887	0	33	4	0	0	0	2	6	6	6	5	7	5	6	3	4	6	7	6	3	7	6	7	6	6	6	7	5	4	6	6	3	6	5	6	5	7	6	6	6	6	6	5	7	5	3	6	3	7	6	6	2	6	5	6	7	7	4	6	6	6	6	2	6	6	7	5	4	5	4	6	3	5	6	77	96	10	3	6	5	6	7	6	7	2	4	6	900.0	7	6
U4892	0	38	5	1	1	3	5	5	6	5	5	6	6	5	5	5	6	5	6	6	5	5	5	5	6	7	3	7	1	7	1	1	7	1	7	1	7	1	1	1	3	1	1	1	6	6	6	6	6	6	1	7	7	3	6	4	4	3	5	6	7	7	6	6	6	7	6	6	7	7	6	7	7	6	29	86	8	6	5	7	6	5	7	6	5	7	6	10.0	7	7
U4902	0	24	4	0	0	0	6	4	5	5	6	5	4	5	4	5	1	7	6	2	5	7	1	4	5	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	7	7	7	7	7	7	0	94	2	1	1	1	1	1	1	1	1	4	4	1.0	1	1
U4904	0	44	4	0	0	0	3	5	5	6	5	5	6	6	5	3	3	6	4	5	5	6	3	6	5	5	5	5	4	5	4	4	5	4	5	3	3	3	3	3	3	2	3	3	3	5	4	4	5	4	4	5	4	3	5	3	3	3	3	3	2	2	3	3	2	3	3	4	4	4	4	3	4	4	58	50	8	5	5	6	6	5	5	6	5	3	3	5.0	3	3
U4911	0	32	5	0	0	0	5	7	4	4	6	5	6	3	5	2	5	4	5	6	7	6	4	4	6	6	6	5	7	6	6	4	5	4	5	6	5	5	6	7	7	6	7	7	6	6	6	5	7	6	5	6	4	7	4	6	6	5	6	3	6	5	5	6	5	3	7	3	5	5	5	3	3	1	83	8	10	6	4	4	5	4	5	4	6	6	4	4000.0	3	5
U4913	0	32	4	0	0	0	5	5	5	5	5	7	7	5	5	5	4	4	5	4	5	4	5	4	5	6	5	3	4	6	6	4	6	5	4	6	6	6	5	5	6	5	6	6	7	4	6	6	6	4	7	5	4	7	6	5	3	5	6	4	6	6	4	5	4	4	7	6	6	4	7	6	3	5	88	82	10	6	5	5	6	5	6	5	6	3	7	4000.0	6	5
U4917	0	28	1	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	100	100	8	7	7	7	7	7	7	7	7	7	7	2.0	7	7
U4918	0	30	4	0	0	1	4	6	5	4	6	4	7	5	5	5	7	4	6	5	5	5	5	6	6	5	7	4	4	4	5	5	5	6	6	4	5	5	5	5	7	6	4	5	6	6	5	6	7	7	7	7	6	5	7	6	5	5	6	5	6	6	7	5	5	7	5	6	6	5	7	5	5	5	76	68	9	6	5	7	6	5	5	6	6	4	7	50.0	5	6
U4924	0	37	5	0	0	0	5	6	6	7	6	7	5	7	7	5	6	6	7	7	5	7	7	6	7	6	6	7	6	7	5	7	5	7	7	6	7	2	2	7	5	1	6	6	2	6	7	7	6	7	5	7	6	7	5	7	6	7	7	6	7	5	7	7	7	6	6	6	7	7	7	5	6	7	85	100	11	7	7	5	6	7	7	6	6	6	7	50.0	7	6
U4930	0	39	4	0	0	0	0	4	7	7	7	7	7	7	7	1	1	7	4	7	7	7	1	6	1	7	1	7	1	7	1	7	7	1	7	1	7	1	1	1	1	1	1	1	1	7	5	7	5	7	4	1	1	1	1	1	1	1	4	1	4	4	4	1	4	4	4	4	7	7	7	7	7	7	0	69	1	5	4	5	5	4	1	4	4	7	7	10.0	4	4
U4931	0	34	7	0	0	0	5	5	7	6	6	5	6	5	6	6	6	4	6	6	6	5	5	6	5	5	6	6	6	7	5	5	7	6	6	6	6	6	6	6	5	7	6	5	6	5	7	7	4	7	6	6	6	7	5	6	5	6	6	7	3	6	5	1	7	4	2	1	4	7	6	5	3	5	96	76	1	5	5	7	7	5	6	6	7	7	5	100.0	7	6
U4933	0	40	5	0	0	0	5	5	7	7	6	7	6	6	5	6	6	6	7	5	6	5	7	6	7	6	6	7	6	7	7	7	6	7	7	7	7	7	7	7	7	6	6	7	7	7	7	7	7	6	6	6	5	6	6	7	6	6	5	6	7	7	7	7	6	7	7	6	7	7	6	7	6	7	87	100	11	6	6	6	7	5	5	7	6	7	6	55.0	6	7
