uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	CDU	SPD	GRU	FDP	LIN	AFD	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U4935	1	24	2	0	0	0	1	4	4	4	4	4	4	4	4	7	3	5	7	4	3	4	5	3	5	1	4	5	1	5	2	4	1	1	1	1	1	1	1	1	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	3	3	1	3	3	3	3	3	4	4	4	4	4	4	50	50	50	50	50	0	5	1	1	4	1	1	1	1	1	4	2	40.0	1	1
U4936	1	43	1	0	0	0	1	7	7	7	7	7	4	7	7	6	1	3	7	2	6	6	1	5	6	5	5	7	6	6	4	7	7	4	1	1	1	1	1	1	1	1	7	6	4	5	4	7	7	7	1	7	7	7	3	1	1	1	1	1	1	1	1	4	3	4	7	4	1	0	75	0	100	22	74	6	2	4	4	3	5	2	2	4	7	7	0.0	7	7
U4938	1	69	2	0	0	0	2	2	6	4	4	5	3	4	6	1	5	2	6	2	7	2	5	2	5	2	3	6	1	5	1	6	1	2	1	5	2	1	2	5	5	4	6	6	6	4	7	4	5	1	3	1	1	2	4	1	5	1	1	1	1	1	1	3	4	4	5	5	4	79	0	10	100	0	0	4	7	7	6	5	6	5	6	5	6	4	50.0	1	5
U4941	1	62	2	2	1	3	0	4	6	5	3	5	4	4	5	3	2	2	6	3	5	3	4	4	5	3	2	3	1	4	2	5	3	5	1	4	1	1	1	4	5	3	4	3	3	3	5	6	6	1	1	1	1	1	1	3	7	3	1	1	6	2	4	6	6	5	6	6	4	9	21	44	0	47	0	5	4	4	4	3	4	6	6	6	7	4	5.0	5	7
U4943	1	44	3	0	0	0	3	6	7	6	5	5	4	7	6	4	2	4	3	2	4	4	4	4	4	4	4	4	4	4	4	4	1	2	1	1	1	1	1	6	6	2	1	1	1	1	7	6	7	1	1	1	1	1	6	1	1	1	1	1	1	1	1	4	4	5	6	6	5	50	50	58	77	50	32	6	4	6	6	4	3	4	4	4	6	1	0.0	7	4
U4944	1	35	3	1	1	3	0	6	4	5	3	5	5	5	3	5	3	4	5	2	1	7	3	6	4	6	6	2	6	2	5	3	5	5	3	2	3	2	2	3	2	3	1	2	2	5	2	3	4	3	1	1	1	1	1	4	6	1	3	1	3	4	3	3	4	3	5	4	6	17	9	2	10	32	74	8	3	4	3	4	3	2	3	3	1	1	0.0	1	4
U4945	0	66	1	0	0	0	3	4	6	6	3	5	5	6	6	2	3	2	3	1	3	7	3	7	4	5	5	3	5	6	4	6	4	4	4	4	1	4	1	4	4	4	4	4	4	4	7	7	7	1	1	1	2	1	1	1	1	1	1	1	1	1	1	4	4	4	5	4	4	36	100	50	70	8	5	6	7	7	7	6	4	4	5	5	6	3	0.0	3	1
U4947	0	66	2	0	0	0	0	6	7	6	6	6	5	7	7	6	6	2	7	4	7	1	7	1	7	1	1	7	1	7	1	7	1	1	1	4	1	1	1	4	7	7	7	7	7	7	1	7	4	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	4	4	1	4	68	93	100	71	0	0	6	3	4	4	1	1	4	4	4	4	7	50.0	7	7
U441	1	18	1	2	1	3	2	6	4	5	3	5	5	4	4	4	5	3	5	2	3	6	4	4	4	4	5	4	4	3	5	3	5	5	2	3	3	3	1	3	2	4	4	4	3	3	3	1	1	5	1	7	7	7	5	5	3	2	3	5	6	3	4	4	3	4	5	3	3	45	49	64	49	58	49	5	5	2	4	3	3	4	3	4	6	5	50.0	5	5
U4948	1	58	2	0	0	0	2	7	6	5	4	4	4	5	5	1	7	7	7	1	2	6	4	4	4	4	6	2	4	4	4	4	2	4	2	2	2	4	2	4	4	2	4	2	2	4	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	6	6	6	4	6	0	100	11	0	64	0	1	1	1	1	1	1	1	1	1	4	4	0.0	2	2
