uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	CDU	SPD	GRU	FDP	LIN	AFD	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U3233	0	27	3	0	0	2	0	2	3	2	2	2	2	2	3	6	6	3	2	6	4	4	5	5	5	3	3	5	3	5	3	5	1	1	1	3	1	1	1	4	3	4	1	2	1	3	4	5	1	1	2	1	2	3	1	3	5	1	1	3	1	1	1	3	3	4	4	5	5	0	7	38	20	25	0	3	4	5	5	4	5	3	3	3	6	3	50.0	7	5
U972	1	23	4	0	0	0	3	6	7	7	4	6	5	6	7	6	1	5	6	1	3	4	5	2	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	1	4	1	1	6	1	1	1	1	1	1	1	1	1	1	1	6	5	5	5	81	55	45	72	41	0	7	4	3	5	3	2	2	2	3	7	4	100.0	1	1
U3066	1	34	3	0	0	0	1	6	6	7	5	7	6	6	6	5	3	4	7	1	3	4	3	4	3	4	6	3	4	4	4	4	2	2	2	2	2	1	2	4	6	2	3	3	2	2	7	5	7	1	1	1	1	1	1	3	5	1	5	4	3	2	3	6	4	4	5	6	5	100	79	10	14	8	0	6	3	4	6	4	3	4	2	3	6	3	50.0	2	2
U3089	1	68	1	0	0	2	6	3	3	3	3	3	3	3	3	5	5	5	6	5	2	5	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	1	3	6	4	6	6	1	6	5	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	58	82	59	65	0	0	2	2	3	3	2	4	2	4	4	7	6	0.0	1	1
U1755	0	18	3	0	0	0	2	7	7	7	4	4	5	7	7	3	5	3	5	1	5	4	6	1	6	2	2	5	1	7	3	5	1	1	1	4	1	1	1	6	3	6	1	3	6	1	1	1	1	1	1	5	1	4	1	1	1	1	1	1	1	1	1	5	4	4	7	3	5	50	50	50	50	50	50	6	5	5	6	2	2	3	4	1	4	5	50.0	6	4
U723	0	53	4	0	0	0	3	4	6	6	4	5	7	6	5	4	5	3	4	4	5	6	6	4	4	5	6	1	5	5	5	7	7	2	7	7	7	5	7	1	1	1	1	4	1	1	6	5	4	5	6	5	4	5	6	5	4	6	5	5	4	6	5	4	6	5	5	5	4	85	45	40	36	30	25	6	6	3	5	4	5	6	5	4	1	1	0.0	1	1
U1091	1	32	4	0	0	0	4	7	7	7	7	7	7	7	7	5	3	2	2	1	7	4	7	1	7	1	3	7	1	7	1	6	2	1	2	2	1	6	5	6	7	7	6	6	5	7	7	6	7	6	7	6	7	6	5	6	6	7	5	5	7	5	4	3	3	3	2	1	5	88	30	23	24	19	24	2	6	6	7	6	5	6	6	6	6	5	30.0	5	6
U12	1	32	4	0	0	0	5	6	6	6	6	6	6	6	6	7	1	1	7	1	7	1	6	7	7	1	1	7	1	7	1	7	1	6	1	6	1	4	5	6	6	4	7	7	4	6	6	5	6	5	6	5	6	5	4	4	6	6	6	4	6	6	5	4	7	5	6	6	5	86	21	31	35	40	45	2	6	6	4	6	5	6	5	5	5	7	3000.0	7	6
U756	1	35	3	0	0	0	5	7	7	7	7	7	7	7	7	4	7	1	7	1	7	7	3	4	7	1	1	7	1	7	1	7	1	1	1	1	1	1	4	7	7	7	7	7	7	1	7	6	6	7	7	6	5	6	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	100	100	100	100	100	100	6	7	6	7	6	7	7	7	7	7	7	1000.0	7	4
U4698	1	54	2	0	0	0	3	5	7	7	5	6	4	6	6	2	4	2	7	1	4	4	6	4	4	3	5	2	3	3	5	3	2	5	1	4	1	1	1	6	6	3	3	2	3	4	7	7	7	2	2	2	6	6	2	1	2	2	1	3	6	2	3	6	6	6	5	6	6	71	71	71	72	50	22	7	7	7	7	7	7	7	7	7	7	6	100.0	2	2
U136	1	34	3	0	0	0	0	6	6	7	3	6	4	3	4	6	4	2	6	2	2	7	1	5	4	3	6	1	5	3	3	6	2	5	2	2	3	5	1	3	3	2	4	2	1	2	5	4	4	5	1	2	1	3	1	6	1	6	1	1	1	1	1	7	4	5	5	6	6	32	65	36	52	89	0	4	4	4	4	2	5	2	2	2	1	2	0.0	3	5
U30	0	61	2	0	0	1	4	2	6	6	5	6	1	7	6	3	6	3	5	1	4	5	4	5	4	5	5	4	3	4	4	6	1	1	1	4	1	1	2	5	6	3	1	5	1	2	7	7	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	4	5	100	72	66	66	21	0	6	7	7	7	7	5	7	7	7	7	1	100.0	1	1
U6059	0	64	3	0	0	2	1	5	6	7	4	5	5	5	6	4	6	4	5	2	4	3	5	3	6	2	3	4	1	5	1	5	3	2	1	1	2	1	2	4	4	3	4	3	5	5	5	6	4	1	1	1	1	1	1	1	2	1	1	1	1	1	2	4	4	4	3	4	3	3	62	69	9	44	0	4	5	7	6	4	5	3	3	3	3	2	0.0	4	4
U1758	0	36	2	0	0	0	2	3	5	4	4	4	3	4	4	5	4	5	5	3	1	6	2	5	5	5	5	3	5	5	6	2	5	5	4	4	5	1	2	4	4	1	2	4	1	3	3	7	5	5	1	1	1	6	1	4	6	1	3	1	1	4	1	3	3	4	2	3	3	79	23	12	52	31	78	7	4	5	5	3	4	4	4	4	2	1	0.0	5	1
U3109	1	32	2	0	0	2	2	6	6	7	7	7	5	6	5	6	3	2	7	1	1	7	2	7	4	5	5	1	5	2	5	2	4	7	2	4	2	1	1	5	5	3	2	3	3	2	2	3	1	1	3	2	1	1	1	3	6	2	4	2	3	2	4	5	4	5	5	5	6	46	52	82	68	41	8	6	4	4	4	1	4	4	4	4	7	1	10.0	1	4
U1539	1	67	1	0	0	0	0	6	7	7	7	6	5	7	7	2	5	4	3	2	2	4	3	4	3	4	5	2	3	3	3	3	1	2	1	1	1	1	1	2	2	1	1	3	1	1	2	7	1	6	1	1	1	1	2	1	1	1	1	1	1	1	1	5	5	6	6	5	5	68	68	63	12	6	0	6	7	7	7	7	5	4	5	5	6	1	25.0	1	1
U4597	0	32	4	0	0	0	4	4	6	4	4	6	4	4	6	4	3	1	4	2	1	7	1	7	1	1	4	1	1	1	1	2	7	1	5	4	5	1	4	1	2	1	1	1	1	1	4	6	6	4	4	4	4	4	6	7	1	1	1	1	1	1	1	7	7	7	7	7	7	0	4	37	0	0	0	8	7	7	7	7	5	6	7	7	4	1	0.0	7	4
U4060	0	66	1	0	0	0	3	5	5	4	2	5	2	2	5	6	1	6	2	3	5	2	5	2	6	1	2	5	2	5	2	6	1	1	1	1	1	1	1	4	5	5	5	5	4	5	1	6	2	1	1	1	6	1	1	1	1	1	1	1	1	1	1	4	5	4	4	5	3	99	0	0	0	0	0	6	1	4	3	1	1	1	1	1	3	4	20.0	1	1
U6219	1	67	4	0	0	0	3	4	7	7	6	6	4	4	7	4	4	4	7	1	4	4	7	2	6	2	4	5	1	6	2	6	1	1	1	6	1	1	1	6	6	1	4	4	1	4	1	7	7	1	1	1	1	1	1	7	1	1	1	1	1	1	1	4	5	6	7	7	7	33	78	65	18	98	0	2	7	7	7	2	6	5	4	5	7	4	20.0	1	1
U6305	1	61	2	0	0	0	6	6	5	5	4	4	4	4	4	4	4	3	5	4	3	3	2	5	5	2	3	5	2	3	1	5	2	2	1	3	2	1	2	4	4	2	4	3	3	2	2	7	4	1	1	1	2	2	1	1	1	1	1	2	1	1	2	4	4	4	4	4	4	50	50	77	50	23	0	6	5	7	7	6	4	5	5	5	5	4	10.0	6	4
U2367	1	28	4	0	0	0	2	4	5	5	5	3	4	4	6	4	4	5	3	5	1	7	2	6	3	4	6	1	6	2	6	2	4	3	3	1	1	1	1	3	3	1	1	2	1	1	1	5	6	5	4	4	4	4	4	1	4	1	2	1	1	1	1	4	4	4	4	4	4	63	45	50	55	0	40	8	5	3	4	4	3	6	5	4	1	1	0.0	2	1
U3335	1	64	2	0	0	0	1	4	5	4	1	6	5	1	4	2	6	5	7	1	1	7	2	4	2	5	7	1	6	1	6	1	1	6	1	1	1	1	1	3	3	1	1	2	1	1	7	7	7	1	1	1	1	1	7	1	1	1	1	1	1	1	1	2	4	3	7	5	7	69	0	0	44	27	0	8	7	7	7	7	5	4	4	4	1	1	0.0	1	4
U2765	0	63	2	0	0	0	1	5	5	5	1	6	4	4	7	1	6	6	6	2	1	7	1	7	3	3	4	1	4	1	3	3	2	4	1	1	1	5	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	5	5	60	100	96	91	0	0	2	4	5	3	2	1	1	1	2	1	5	0.0	1	1
U3347	0	35	2	0	0	0	1	3	3	3	3	3	3	3	3	3	3	5	4	3	4	4	4	4	4	4	4	4	4	4	4	4	2	3	2	2	1	1	1	5	5	2	3	4	3	4	5	5	5	5	1	3	1	3	2	1	1	1	1	1	1	1	1	6	6	6	7	6	7	52	53	0	41	72	0	3	4	4	4	4	3	4	4	4	5	6	5.0	5	4
U3452	0	40	2	0	0	0	2	3	3	2	2	1	3	2	3	2	5	4	4	5	1	7	5	3	1	7	7	4	7	5	7	4	3	4	5	4	4	4	4	4	4	4	4	4	4	4	5	6	6	6	4	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	0	0	0	0	3	9	4	5	3	4	2	5	4	5	1	1	0.0	1	1
U5858	0	68	3	0	0	0	3	5	6	5	4	3	4	5	5	2	3	2	4	2	4	3	4	3	6	2	2	6	3	6	1	5	2	2	2	3	2	2	2	2	3	3	2	3	2	3	7	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	3	3	5	58	26	12	70	7	58	8	5	5	5	4	3	4	3	3	6	6	0.0	1	5
U5900	1	39	1	0	0	2	0	4	4	6	1	6	4	5	7	7	2	6	1	3	6	6	5	2	7	1	5	4	1	5	4	7	1	1	1	1	1	4	1	6	4	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	6	7	5	7	99	13	66	13	12	0	6	7	7	7	7	7	7	4	6	7	1	1.0	1	7
U2064	1	56	3	0	0	0	1	6	6	5	5	6	6	4	6	4	4	2	4	3	4	4	4	5	5	4	4	4	3	5	3	5	2	4	1	4	1	1	1	5	5	1	1	1	1	1	5	7	6	1	1	1	1	3	1	1	3	1	1	1	2	1	4	4	4	4	5	5	4	66	74	78	75	16	1	6	5	6	6	5	4	5	4	5	5	6	10.0	6	5
U3274	1	46	2	0	0	0	1	7	7	6	6	7	7	6	7	6	1	4	1	1	1	7	4	6	4	7	6	2	5	2	6	2	3	5	2	3	2	2	2	6	5	4	2	2	2	5	7	6	7	6	6	7	6	7	7	3	5	4	4	4	4	3	4	3	5	4	3	4	4	70	85	19	79	56	0	2	6	6	6	6	5	6	6	6	5	4	0.0	1	1
U6329	1	36	3	0	0	1	3	7	7	7	7	7	7	7	7	7	7	6	7	1	3	7	1	7	7	2	5	7	2	3	2	7	3	2	1	6	1	3	2	7	7	4	7	6	3	2	7	7	4	7	7	2	1	7	7	7	2	7	5	3	5	5	5	6	5	5	7	7	7	76	43	24	37	94	39	3	6	6	5	7	7	7	7	7	4	6	300.0	5	1
U942	1	32	3	1	0	0	1	6	6	5	5	6	4	5	4	5	5	5	4	4	5	5	5	4	5	4	5	4	5	5	5	5	6	5	6	6	6	5	5	6	5	6	4	6	5	5	5	6	6	6	6	7	7	6	6	5	5	5	5	5	5	4	4	4	5	5	4	5	5	59	48	57	46	57	60	6	4	4	5	5	5	4	4	5	5	4	455.0	4	4
U1209	1	32	4	0	0	0	2	6	5	5	6	6	6	6	6	6	6	6	6	5	5	5	4	5	5	4	5	5	5	4	5	5	5	5	4	4	4	5	5	5	5	5	5	5	4	4	4	5	5	5	5	5	5	6	6	5	5	5	4	4	5	5	4	5	4	5	5	4	5	63	47	54	55	47	54	6	6	5	5	6	5	6	5	5	5	4	200.0	4	5
U2028	0	42	3	0	0	0	2	4	5	5	4	5	4	3	5	6	6	5	3	2	6	5	5	3	4	5	4	5	4	5	4	4	7	7	7	5	7	6	1	1	1	1	1	1	1	1	6	6	7	2	2	3	3	4	3	4	6	5	3	5	4	3	4	5	5	6	3	4	4	29	13	0	35	2	100	10	2	4	5	5	5	4	4	6	4	3	0.0	1	1
U5866	1	62	2	0	0	0	2	1	7	7	5	7	2	5	7	4	2	2	7	4	1	7	2	7	2	3	6	2	6	1	3	4	1	2	1	5	1	1	1	4	4	1	1	3	4	2	3	5	7	7	1	1	7	3	4	4	3	4	4	4	3	1	4	6	4	4	7	6	7	79	5	0	1	3	3	6	2	6	7	5	5	5	2	7	6	2	0.0	6	6
U5619	0	70	4	0	1	4	2	4	6	4	6	6	6	6	7	5	6	5	5	5	2	6	4	6	2	5	6	4	6	3	4	4	1	3	2	4	1	1	4	4	4	2	2	4	2	3	6	6	6	2	2	4	5	3	2	3	4	3	5	4	4	5	5	6	5	6	6	5	6	34	28	21	20	80	80	6	6	6	6	5	3	7	7	7	6	3	0.0	5	5
U6170	1	32	3	0	0	0	3	6	6	5	7	6	7	6	6	4	5	6	6	5	5	6	5	4	6	6	5	6	6	5	5	5	5	5	4	5	5	5	5	6	5	5	6	6	5	4	6	6	7	6	6	6	6	6	6	6	6	3	5	6	6	5	5	4	5	5	5	5	4	55	56	60	63	65	68	6	3	6	4	6	6	4	5	6	6	5	100.0	6	6
U5471	1	60	2	0	0	0	2	2	2	2	2	4	2	2	2	6	7	6	2	4	1	7	1	7	2	6	6	1	7	1	6	2	7	7	4	1	3	4	3	1	1	1	1	1	1	1	7	7	1	1	1	1	1	1	7	1	7	1	1	1	1	1	1	7	6	6	6	4	6	0	0	0	3	0	96	10	2	4	4	2	4	4	4	4	1	1	0.0	1	1
U2050	0	70	3	0	0	0	0	4	7	6	2	6	2	4	4	5	6	2	6	3	2	6	3	6	4	5	4	3	4	3	4	3	4	4	1	4	1	1	1	4	4	1	2	1	1	2	7	7	4	1	1	1	1	7	7	6	7	1	4	1	1	1	4	7	7	7	7	7	7	27	19	0	0	27	79	9	7	7	7	7	5	7	7	7	1	1	0.0	1	5
U3818	0	59	2	0	0	0	0	2	4	2	2	5	1	2	4	4	2	6	6	4	1	7	1	7	3	6	7	1	6	1	6	2	6	6	3	5	4	1	1	4	4	1	2	3	1	1	2	7	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	7	7	6	7	7	7	5	0	0	5	0	5	8	4	7	5	3	4	4	4	4	2	1	0.0	4	7
U912	1	72	1	0	0	0	2	7	6	7	5	6	4	4	6	4	5	1	5	2	3	6	3	4	4	5	6	2	3	2	2	4	3	5	2	5	3	2	2	6	5	2	3	3	3	3	3	7	7	4	1	1	4	4	2	5	2	4	4	1	5	4	3	3	6	6	6	5	6	77	100	77	30	32	0	6	6	6	6	6	3	6	5	6	7	5	0.0	2	3
U2394	1	63	1	0	0	0	0	5	2	6	4	7	6	4	6	3	1	2	4	2	1	7	1	7	1	1	7	1	7	1	7	1	7	7	4	1	3	1	1	1	1	1	1	1	1	1	1	7	4	7	1	1	1	1	1	7	7	7	7	1	7	1	1	7	7	7	7	7	7	87	2	0	4	0	67	6	1	7	7	5	4	7	7	7	1	1	0.0	1	1
U3668	0	56	2	0	0	0	2	5	5	4	4	6	2	2	5	6	6	5	4	1	1	7	1	7	1	7	7	1	7	1	7	1	7	1	6	1	6	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	7	7	7	6	6	6	6	6	5	6	5	7	7	6	7	7	7	39	0	0	5	0	96	11	7	7	7	7	6	7	7	7	1	1	0.0	4	6
U299	0	65	1	0	0	0	2	3	7	5	5	4	3	6	7	5	4	3	6	2	2	5	3	4	4	4	6	3	5	2	4	4	5	4	4	3	3	3	4	4	4	2	4	3	4	5	3	7	6	1	1	1	1	1	1	5	5	4	3	2	4	2	4	6	4	5	6	6	6	37	37	53	81	3	1	6	5	5	6	4	4	5	4	5	5	4	100.0	2	3
U4797	1	28	1	0	0	0	6	7	5	7	4	7	5	5	7	4	4	6	4	1	2	7	6	5	3	4	6	5	4	4	4	6	1	1	1	3	1	1	1	7	7	2	3	7	2	1	7	6	6	1	1	3	1	1	1	1	3	1	4	1	1	1	2	4	7	4	5	5	6	60	64	41	44	16	50	6	2	5	4	5	1	3	1	2	7	4	0.0	3	3
U4516	0	35	1	0	0	0	2	7	7	6	7	6	5	6	7	7	6	6	6	7	1	7	7	7	7	5	5	5	7	4	7	5	5	5	5	5	5	6	5	5	6	6	5	5	5	5	7	7	7	7	7	6	7	7	7	7	7	7	6	6	7	7	7	6	7	6	6	6	6	100	100	100	100	34	0	6	6	5	6	5	7	6	7	6	7	7	1011.0	7	6
U5464	0	61	3	1	0	2	2	4	6	6	4	5	4	5	6	6	6	6	4	6	1	7	1	7	2	6	6	1	7	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	4	4	7	7	1	7	1	1	7	7	1	4	1	1	4	4	7	9	5	0	0	9	100	6	6	7	6	6	5	7	6	7	1	1	0.0	5	4
U5980	0	56	4	0	0	0	6	5	5	5	4	4	5	5	5	3	5	3	6	2	1	7	1	7	4	6	6	1	7	1	7	7	4	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	6	1	1	1	1	1	1	4	4	1	1	1	1	4	1	1	4	4	7	7	7	49	49	0	50	0	49	6	6	6	6	6	5	5	5	5	1	1	0.0	4	4
U50	0	71	1	0	0	0	1	7	7	7	4	7	5	6	7	5	5	4	6	1	6	2	7	4	6	2	2	6	2	6	2	6	1	1	1	5	1	1	1	7	7	5	6	7	5	4	2	6	2	4	1	1	2	2	7	6	7	6	7	6	5	6	6	2	3	4	4	5	2	94	93	91	77	22	0	6	7	7	7	6	4	7	6	6	7	7	20.0	1	6
U5792	1	18	3	0	0	0	0	6	7	6	6	6	5	5	5	5	7	1	3	2	2	7	3	5	2	5	6	2	5	2	6	1	3	6	2	5	3	1	1	6	5	2	1	1	1	2	3	6	5	1	1	6	1	4	1	2	3	1	1	3	2	1	1	4	3	3	3	3	2	64	15	8	100	0	15	10	3	2	2	2	2	4	3	2	4	2	20.0	6	6
U5849	0	49	3	0	0	0	6	6	3	6	1	6	5	4	6	7	2	2	4	3	1	7	1	5	1	7	7	1	3	2	7	1	4	6	5	1	5	1	1	3	3	1	1	5	1	1	3	7	3	1	2	1	2	4	2	5	4	1	2	1	1	4	2	2	5	5	7	7	7	22	22	2	52	55	54	6	4	7	6	6	4	5	4	7	7	5	1.0	6	1
U6502	0	34	4	1	0	3	4	7	7	7	6	6	7	7	7	1	4	1	7	1	4	6	6	3	6	2	2	6	2	6	2	5	1	1	1	6	1	1	1	7	7	3	6	5	5	1	7	7	7	6	7	7	7	7	6	4	5	6	3	5	6	7	7	2	3	4	6	6	5	91	79	98	71	55	16	8	7	6	7	7	6	7	6	6	7	6	200.0	7	7
U5405	0	69	2	0	0	0	2	4	6	5	3	3	2	3	5	3	6	2	6	2	2	4	5	4	5	4	6	4	2	6	4	4	4	4	1	2	1	1	1	5	5	1	2	4	2	2	7	7	6	1	1	1	1	1	3	2	2	5	4	2	5	2	2	7	6	6	7	7	7	86	55	4	59	24	0	7	6	7	7	6	4	6	6	6	6	2	100.0	6	3
U6419	0	55	2	0	0	0	4	7	6	7	6	7	7	6	7	2	4	1	7	1	5	4	3	3	5	6	5	2	2	4	4	4	1	3	4	4	1	1	4	6	4	4	4	4	4	4	4	4	3	2	2	2	7	5	3	4	4	4	4	4	4	4	4	7	7	7	7	7	7	91	54	56	57	52	0	1	5	5	5	5	5	5	5	5	7	5	50.0	5	3
U1078	0	32	3	0	0	3	1	6	7	4	3	5	6	6	6	7	2	4	6	2	5	2	5	3	5	3	3	5	3	7	3	6	4	4	4	5	4	3	4	5	5	4	4	4	4	4	3	4	3	6	2	2	2	5	3	4	4	4	4	2	4	4	4	4	4	4	4	6	4	2	55	2	3	1	0	6	7	5	6	4	7	6	6	6	5	4	10.0	6	5
U185	1	37	3	1	0	0	1	7	7	6	6	7	5	6	6	4	6	3	5	3	3	4	4	4	5	3	4	4	3	5	4	4	2	4	1	4	1	1	1	4	4	4	3	2	1	2	6	5	5	2	4	4	6	7	6	3	1	3	1	2	3	1	3	4	4	4	6	6	6	0	0	0	0	0	0	6	7	6	7	6	6	6	6	6	5	5	0.0	7	7
U34	1	70	4	0	0	0	4	3	5	4	4	5	4	5	4	6	6	4	4	1	1	7	1	7	1	7	7	1	7	1	7	1	7	7	7	1	5	6	1	1	1	1	1	1	1	1	2	7	3	1	1	1	1	1	1	4	7	1	1	1	1	5	1	4	6	7	7	7	7	60	1	2	51	0	100	11	7	7	7	6	3	7	7	7	1	1	0.0	1	1
U1036	0	47	3	1	0	2	1	2	6	4	3	7	2	2	5	7	5	2	7	5	1	7	1	7	2	6	6	1	7	1	5	2	6	4	3	4	1	5	1	2	2	1	1	1	1	1	4	3	4	1	4	1	1	5	6	1	4	2	2	3	2	4	1	7	7	7	7	5	7	8	0	0	0	1	86	7	5	6	7	6	2	7	5	7	5	1	0.0	5	2
U5939	0	66	4	0	0	0	6	4	5	4	4	4	4	4	5	6	5	2	4	2	3	4	4	4	4	4	4	4	4	4	4	4	2	1	2	2	2	2	1	4	4	1	2	2	2	1	7	7	7	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	4	4	4	4	4	69	72	61	54	0	0	6	6	6	6	6	6	6	6	6	4	4	100.0	2	2
U2650	1	70	2	0	0	0	2	4	3	7	1	6	3	2	5	5	6	1	7	4	1	7	1	4	4	5	5	1	4	1	4	2	4	1	1	1	4	2	1	1	5	1	1	4	1	1	7	3	1	5	1	1	1	1	7	1	1	1	1	1	1	1	1	5	7	7	7	5	4	10	9	0	0	50	50	6	7	7	7	7	5	7	7	7	4	1	0.0	4	3
U2023	0	35	4	0	0	0	4	6	7	5	7	7	6	7	6	1	4	1	7	1	6	4	1	2	7	1	4	7	1	7	4	4	4	4	1	5	1	4	3	6	7	4	6	6	4	2	6	7	6	7	7	6	5	7	7	7	5	5	7	4	5	5	6	6	5	4	6	4	4	50	50	89	52	100	49	4	7	6	7	7	7	6	7	7	7	7	2000.0	7	7
U2061	0	53	2	0	0	0	6	1	7	7	7	6	1	1	7	1	2	4	4	1	6	1	6	1	7	1	2	7	1	7	1	7	1	1	1	1	1	1	1	3	6	1	1	7	1	1	6	7	4	2	1	1	1	2	1	2	7	7	1	1	4	1	7	4	6	7	7	1	1	1	6	34	0	74	0	2	7	7	7	6	6	7	6	7	7	5	25.0	4	2
U6451	0	62	3	0	0	0	2	6	5	6	6	5	5	6	7	6	5	3	5	3	2	6	5	6	5	3	3	3	4	3	3	5	2	3	1	4	1	2	2	4	4	2	4	3	3	3	2	5	4	1	1	1	5	4	7	2	3	3	1	2	3	2	3	5	5	4	4	5	4	33	4	4	4	4	84	9	6	5	5	6	5	5	5	5	4	3	10.0	1	1
U40	1	69	3	0	0	0	2	6	5	7	6	7	5	4	6	1	7	1	7	2	5	1	5	2	4	2	1	6	1	6	1	7	1	1	1	4	1	1	1	6	6	4	4	6	4	1	6	4	3	1	1	1	2	1	2	4	7	7	4	4	5	5	5	6	4	5	6	6	4	44	61	77	27	79	12	5	6	6	6	6	4	5	5	5	6	6	30.0	1	5
U731	0	49	4	1	0	1	5	5	7	7	7	7	7	7	7	7	1	1	7	1	4	3	7	2	5	4	2	7	2	4	3	5	4	5	1	4	4	4	4	4	5	4	4	4	4	4	7	7	7	7	7	7	7	7	6	6	6	6	4	6	6	6	6	7	4	7	7	7	7	63	65	63	36	28	0	9	7	7	7	7	7	7	7	7	7	7	0.0	3	7
U5283	1	52	2	0	0	0	0	5	6	6	4	3	3	3	7	2	3	3	3	5	6	1	5	1	5	4	4	5	3	6	2	5	2	2	1	6	1	1	1	7	7	6	5	7	4	7	4	7	4	2	2	2	2	4	6	2	7	5	3	6	7	2	4	5	3	5	5	3	6	75	18	78	11	84	0	4	5	6	7	4	4	4	3	4	7	5	100.0	7	3
U4337	0	49	2	0	0	0	3	2	5	3	3	3	3	5	5	6	2	5	4	2	1	7	1	7	4	3	7	4	5	4	4	4	4	5	3	5	2	1	1	5	5	1	2	1	2	1	7	2	2	1	1	4	3	5	4	7	7	7	7	7	7	7	7	4	5	5	4	5	6	57	41	0	35	9	58	5	6	7	6	7	5	7	7	7	2	2	0.0	5	1
U675	0	42	1	0	0	2	1	6	7	6	5	7	4	7	6	1	1	2	2	3	5	3	7	2	7	3	2	6	2	6	2	7	2	2	1	5	2	1	1	7	7	7	5	5	5	5	3	4	3	2	2	3	3	5	2	6	6	4	2	3	5	4	4	7	7	3	6	7	6	66	18	87	4	71	0	6	4	6	5	3	3	5	5	6	6	6	150.0	4	4
U2674	0	33	4	0	0	0	4	7	6	7	6	6	7	7	7	3	2	2	7	2	4	5	3	4	5	2	4	5	4	4	2	3	4	4	4	4	3	4	4	6	6	6	6	6	6	2	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	5	5	6	6	6	84	68	71	75	70	71	1	6	7	6	7	6	7	7	7	7	7	450.0	7	7
U2801	1	42	1	0	0	3	0	4	6	7	4	6	4	6	6	6	5	7	5	4	4	4	4	4	4	4	3	4	4	4	4	4	2	4	3	6	2	2	3	4	6	4	4	4	4	2	3	5	5	4	4	5	5	5	3	3	3	4	4	3	4	3	4	3	3	4	4	4	3	50	100	0	0	0	0	4	4	5	4	4	4	4	3	4	4	4	50.0	1	3
U2832	1	72	3	0	0	0	3	3	6	4	4	6	3	4	5	4	5	1	4	2	7	1	7	1	5	1	2	7	1	7	1	7	1	1	1	1	1	1	1	5	6	3	5	6	1	3	3	6	1	1	1	1	1	1	1	4	6	5	6	6	4	5	4	2	5	4	5	6	6	38	83	83	38	65	0	5	6	6	6	5	4	5	5	5	7	6	100.0	2	5
U1108	0	33	5	0	0	0	2	7	7	7	7	7	7	7	7	4	3	1	7	1	7	3	4	4	7	1	5	7	7	7	2	6	2	3	2	2	3	2	5	7	7	7	7	7	7	3	7	7	7	7	7	7	7	7	7	6	6	7	6	7	6	6	7	7	6	7	7	7	7	100	82	88	42	64	70	2	6	7	7	6	7	6	7	7	7	7	200.0	7	6
U5081	1	70	2	0	0	0	6	4	6	4	4	5	2	3	5	3	1	4	5	6	1	7	6	2	4	4	7	3	2	2	3	3	3	6	1	3	2	1	1	4	4	3	3	2	1	3	5	4	4	1	1	1	1	1	1	1	1	1	1	1	4	1	1	4	4	3	7	6	6	40	45	12	11	0	1	7	1	2	2	1	1	3	3	3	4	2	20.0	1	1
U5831	1	21	3	0	0	0	0	6	6	6	4	5	5	5	5	5	3	3	6	2	5	3	6	2	5	3	3	3	4	3	3	5	2	3	2	6	1	1	2	6	6	6	6	3	4	4	5	3	3	1	1	4	3	3	1	5	3	2	3	3	3	2	2	4	4	4	4	5	5	73	78	99	66	75	1	6	5	5	5	4	2	3	4	4	5	4	10.0	3	2
