id,topic,topic_label
180,-1,mehr_menschen_deutschland_wurde
181,8,deutschland_wurde_sagt_familie
182,-1,mehr_menschen_deutschland_wurde
183,0,grenze_belarus_polen_eu
184,-1,mehr_menschen_deutschland_wurde
185,-1,mehr_menschen_deutschland_wurde
186,1,libyen_sea_bord_schiff
187,7,moria_lesbos_griechischen_lager
188,4,türkei_eu_erdogan_türkische
189,-1,mehr_menschen_deutschland_wurde
191,5,mexiko_trump_us_usa
192,-1,mehr_menschen_deutschland_wurde
193,18,türkei_griechenland_griechischen_migranten
194,4,türkei_eu_erdogan_türkische
195,-1,mehr_menschen_deutschland_wurde
196,0,grenze_belarus_polen_eu
197,22,afghanistan_taliban_afghanen_kabul
198,24,salvini_italien_lega_matteo
199,-1,mehr_menschen_deutschland_wurde
200,22,afghanistan_taliban_afghanen_kabul
201,10,russland_putin_ukraine_russischen
202,10,russland_putin_ukraine_russischen
203,-1,mehr_menschen_deutschland_wurde
205,23,deutschland_anträge_000_prozent
206,-1,mehr_menschen_deutschland_wurde
207,-1,mehr_menschen_deutschland_wurde
208,-1,mehr_menschen_deutschland_wurde
209,-1,mehr_menschen_deutschland_wurde
210,6,corona_pandemie_menschen_covid
211,23,deutschland_anträge_000_prozent
212,23,deutschland_anträge_000_prozent
213,0,grenze_belarus_polen_eu
214,-1,mehr_menschen_deutschland_wurde
215,2,eu_brexit_europäischen_europa
216,-1,mehr_menschen_deutschland_wurde
217,0,grenze_belarus_polen_eu
218,-1,mehr_menschen_deutschland_wurde
219,-1,mehr_menschen_deutschland_wurde
220,-1,mehr_menschen_deutschland_wurde
221,0,grenze_belarus_polen_eu
222,-1,mehr_menschen_deutschland_wurde
223,23,deutschland_anträge_000_prozent
224,3,prozent_000_deutschland_mehr
225,0,grenze_belarus_polen_eu
226,-1,mehr_menschen_deutschland_wurde
227,-1,mehr_menschen_deutschland_wurde
228,5,mexiko_trump_us_usa
229,-1,mehr_menschen_deutschland_wurde
230,-1,mehr_menschen_deutschland_wurde
231,12,deutschland_menschen_deutschen_mehr
232,-1,mehr_menschen_deutschland_wurde
233,15,taliban_afghanistan_kabul_us
234,15,taliban_afghanistan_kabul_us
235,-1,mehr_menschen_deutschland_wurde
236,17,merkel_kanzlerin_angela_deutschland
237,15,taliban_afghanistan_kabul_us
